Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Joy,Apollo 100,2:30,4,0.788,0.898,10,-4.653,0,0.0592,0.0182,0.000123,0.114,0.496,115.96,80,1972
Where Is The Love,Roberta Flack & Donny Hathaway,4:32,4,0.834,0.699,5,-3.222,1,0.178,0.111,0,0.131,0.809,94.086,80,1972
Family Affair,Sly & the Family Stone,4:25,4,0.911,0.551,8,-3.75,0,0.045,0.133,0.0000435,0.0863,0.969,92.887,78,1972
A Horse With No Name,America,4:12,4,0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,77,1972
American Pie,Don McLean,8:36,4,0.529,0.482,4,-11.709,0,0.0599,0.7,0,0.0842,0.492,138.453,77,1972
Long Cool Woman In A Black Dress,The Hollies,3:19,4,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.918,77,1972
Let’s Stay Together,Al Green,3:19,4,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,76,1972
Burning Love,Elvis Presley,2:50,4,0.66,0.748,2,-11.206,1,0.0284,0.0993,0.00585,0.283,0.972,143.549,76,1972
Lean On Me,Bill Withers,2:56,4,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,75,1972
Without You,Harry Nilsson,2:41,4,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,74,1972
I Can See Clearly Now,Johnny Nash,2:44,4,0.681,0.373,2,-13.2,1,0.0568,0.633,0.00113,0.0751,0.623,123.423,74,1972
Ben,Michael Jackson,5:22,4,0.665,0.673,0,-7.95,1,0.0493,0.259,0.00000762,0.497,0.779,132.642,74,1972
I Need You,America,3:54,4,0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989,73,1972
Layla,Derek and the Dominos,7:03,4,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,72,1972
Everything I Own,Bread,3:07,4,0.365,0.338,2,-13.406,1,0.0322,0.735,0,0.104,0.446,79.241,71,1972
How Do You Do,Mouth & MacNeal,3:29,4,0.648,0.667,0,-8.986,1,0.0311,0.0534,0.00000675,0.0908,0.666,109.607,71,1972
Heart Of Gold,Neil Young,3:07,4,0.537,0.399,4,-13.547,0,0.0269,0.202,0.0546,0.109,0.832,171.402,70,1972
Morning Has Broken,Cat Stevens,3:19,3,0.443,0.365,7,-11.829,1,0.0315,0.592,0.00484,0.0886,0.398,133.156,69,1972
School’s Out,Alice Cooper,3:30,4,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,68,1972
Sunshine,Jonathan Edwards,3:02,4,0.67,0.737,9,-6.794,1,0.0434,0.223,0,0.325,0.754,92.983,68,1972
Goodbye To Love,The Carpenters,4:18,4,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,68,1972
In The Rain,The Dramatics,3:45,4,0.534,0.409,7,-9.559,1,0.0378,0.844,0.000656,0.115,0.243,127.357,68,1972
Use Me,Bill Withers,3:48,4,0.758,0.586,11,-13.461,0,0.056,0.033,0.0028,0.0743,0.947,154.629,66,1972
Popcorn,Hot Butter,3:01,4,0.656,0.48,2,-7.156,1,0.0552,0.318,0,0.0917,0.402,132.043,66,1972
Doctor My Eyes,Jackson Browne,3:19,4,0.402,0.643,5,-8.749,1,0.0317,0.24,0.0000391,0.118,0.525,150.086,65,1972
Alone Again (NATURALLY),Gilbert O’Sullivan,3:41,4,0.558,0.528,8,-6.265,0,0.032,0.625,0.0000749,0.104,0.606,171.797,64,1972
Nights In White Satin,The Moody Blues,4:29,4,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,64,1972
Black And White,Three Dog Night,3:13,4,0.443,0.582,2,-6.015,1,0.0482,0.0302,0,0.127,0.233,147.587,64,1972
Saturday In The Park,Chicago,3:55,4,0.67,0.763,7,-6.864,1,0.0341,0.155,0,0.0799,0.61,114.398,63,1972
You Don’t Mess Around With Jim,Jim Croce,3:02,4,0.763,0.736,11,-6.958,0,0.0491,0.584,0.0000171,0.145,0.967,82.046,63,1972
Bang A Gong (GET It On),T. Rex,4:27,4,0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,63,1972
Tumbling Dice,the Rolling Stones,3:46,4,0.616,0.91,11,-4.248,1,0.0347,0.5,0.504,0.281,0.77,111.017,63,1972
Cherish,David Cassidy,5:32,4,0.68,0.389,8,-13.239,1,0.0545,0.0121,0.0834,0.105,0.68,80.145,61,1972
The Lion Sleeps Tonight,Robert John,2:42,4,0.321,0.474,5,-9.383,1,0.0348,0.743,0,0.204,0.804,121.199,61,1972
Witchy Woman,Eagles,4:10,4,0.555,0.568,2,-12.205,0,0.0341,0.364,0.00167,0.116,0.583,98.507,60,1972
Go All The Way,Raspberries,3:25,4,0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,60,1972
You Are Everything,the Stylistics,2:55,4,0.507,0.636,2,-7.538,0,0.0401,0.849,0,0.646,0.702,142.248,60,1972
The First Time Ever I Saw Your Face,Roberta Flack,4:20,4,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,59,1972
Day Dreaming,Aretha Franklin,1:20,4,0.213,0.0751,7,-27.103,1,0.0433,0.971,0.441,0.113,0.0346,85.295,58,1972
Scorpio,Dennis Coffey,2:45,4,0.736,0.532,1,-7.151,1,0.265,0.0292,0.00000886,0.0806,0.273,84.983,58,1972
Sylvia’s Mother,Dr. Hook & The Medicine Show,3:48,4,0.303,0.47,9,-12.715,1,0.0512,0.692,0,0.339,0.563,168.104,58,1972
Back Stabbers,The O’Jays,3:06,4,0.751,0.714,10,-11.614,1,0.0374,0.317,0,0.639,0.935,124.379,58,1972
Too Late To Turn Back Now,Cornelius Brothers & Sister Rose,3:18,4,0.516,0.73,7,-7.136,1,0.0494,0.344,0,0.425,0.907,115.126,57,1972
Puppy Love,Donny Osmond,2:41,4,0.234,0.443,7,-7.605,1,0.0361,0.701,0,0.25,0.448,68.69,57,1972
Rockin’ Robin,Michael Jackson,2:40,4,0.541,0.608,7,-13.083,1,0.106,0.298,0,0.234,0.938,171.992,57,1972
Mother And Child Reunion,Paul Simon,3:07,4,0.712,0.632,9,-7.704,1,0.0334,0.112,0,0.0648,0.764,119.931,56,1972
Never Been To Spain,Three Dog Night,3:46,4,0.517,0.502,4,-15.014,1,0.0275,0.58,0.00157,0.352,0.727,88.762,56,1972
Clean Up Woman,Betty Wright,2:49,4,0.865,0.652,5,-9.046,1,0.143,0.566,0.000919,0.0833,0.829,90.081,54,1972
The Way Of Love,Cher,3:02,4,0.865,0.414,5,-13.256,0,0.168,0.225,0.00159,0.0425,0.937,80.852,54,1972
Brand New Key,Melanie,2:27,4,0.703,0.292,1,-10.924,1,0.036,0.805,0.00000376,0.08,0.855,84.032,54,1972
Song Sung Blue,Neil Diamond,3:05,4,0.594,0.529,0,-9.338,1,0.0287,0.276,0.0000392,0.148,0.507,109.7,53,1972
Oh Girl,The Chi-Lites,3:36,4,0.418,0.402,10,-12.942,1,0.0288,0.226,0,0.103,0.601,133.683,53,1972
Day After Day,Badfinger,3:11,4,0.399,0.686,5,-7.112,1,0.0311,0.109,0.000874,0.112,0.377,101.806,52,1972
Coconut,Harry Nilsson,3:24,4,0.825,0.387,0,-10.36,1,0.0364,0.756,0.000171,0.0866,0.794,126.067,52,1972
Sugar Daddy,Jackson 5,4:05,4,0.822,0.673,4,-6.141,0,0.228,0.144,0,0.323,0.85,120.02,52,1972
Beautiful Sunday,Daniel Boone,3:02,4,0.676,0.463,9,-13.155,1,0.0306,0.309,0,0.288,0.91,121.923,51,1972
Garden Party,Ricky Nelson,3:49,4,0.774,0.247,2,-21.657,1,0.0779,0.786,0.0186,0.116,0.803,143.955,51,1972
A Cowboy’s Work Is Never Done,Sonny & Cher,3:28,4,0.652,0.89,4,-3.471,1,0.034,0.00644,0,0.297,0.874,117.025,51,1972
Hurting Each Other,The Carpenters,2:48,3,0.341,0.325,4,-9.421,1,0.038,0.765,0,0.3,0.292,93.265,51,1972
Betcha,"GOLLY, WOW",4:13,4,0.43,0.56,3,-9.62,1,0.0268,0.362,0.000107,0.495,0.391,72.238,50,1972
Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,2:44,4,0.696,0.791,4,-13.056,1,0.22,0.296,0,0.318,0.965,130.246,49,1972
The Happiest Girl In The Whole U.S.A.,Donna Fargo,2:31,3,0.655,0.449,6,-11.468,1,0.0277,0.357,0,0.492,0.488,97.982,49,1972
Freddie’s Dead,Curtis Mayfield,2:28,4,0.821,0.574,1,-4.872,1,0.405,0.0536,0.00000639,0.0799,0.441,170.941,47,1972
"Baby, Don’t Get Hooked On Me",Mac Davis,3:03,4,0.495,0.307,9,-18.168,1,0.0403,0.26,0.0000521,0.103,0.802,80.97,47,1972
Have You Seen Her,the Chi-Lites,5:09,4,0.62,0.334,4,-15.598,1,0.0536,0.479,0.0000012,0.169,0.298,139.375,47,1972
Everybody Plays The Fool,The Main Ingredient,3:22,4,0.485,0.641,3,-8.752,1,0.0418,0.704,0.0000992,0.159,0.855,168.645,46,1972
Jungle Fever,The Chakachas,2:56,4,0.719,0.707,7,-9.025,1,0.339,0.0751,0,0.121,0.615,151.055,45,1972
An Old Fashioned Love Song,Three Dog Night,3:50,4,0.46,0.498,10,-12.718,1,0.0373,0.478,0.00884,0.0817,0.84,101.392,45,1972
Anticipation,Carly Simon,3:21,4,0.61,0.297,2,-14.956,1,0.0304,0.838,0.00000916,0.107,0.543,99.963,44,1972
Sweet Seasons,Carole King,3:13,4,0.66,0.545,10,-12.499,1,0.0274,0.305,0.00185,0.099,0.864,116.229,44,1972
(IF Loving You Is Wrong) I Don’t Want To Be Right,Luther Ingram,3:36,4,0.502,0.451,4,-7.423,0,0.0438,0.283,0,0.154,0.531,140.474,44,1972
I’m Still In Love With You,Al Green,2:57,4,0.771,0.536,2,-9.867,1,0.151,0.2,0.00000188,0.0766,0.899,81.343,43,1972
Precious And Few,Climax,2:44,4,0.203,0.401,9,-12.341,1,0.0339,0.434,0,0.1,0.17,201.467,43,1972
(LAST Night) I Didn’t Get To Sleep At All,The 5th Dimension,3:12,4,0.671,0.497,5,-12.53,0,0.0289,0.484,0.0027,0.0893,0.564,105.117,43,1972
Hold Your Head Up,Argent,6:17,4,0.502,0.488,7,-12.265,1,0.0261,0.3,0.128,0.319,0.74,89.279,42,1972
Drowning In The Sea Of Love,Joe Simon,3:23,4,0.603,0.448,9,-10.548,0,0.0934,0.392,0.0157,0.105,0.509,119.717,42,1972
Got To Be There,Michael Jackson,3:24,4,0.349,0.569,1,-9.512,1,0.0434,0.11,0.000122,0.0416,0.721,171.354,42,1972
Look What You Done For Me,Al Green,3:05,4,0.604,0.568,10,-8.555,1,0.0447,0.371,0.00000318,0.182,0.818,95.672,41,1972
Outa-Space,Billy Preston,4:10,4,0.715,0.827,1,-8.555,1,0.0369,0.14,0.176,0.243,0.901,116.213,41,1972
The Candy Man,Sammy Davis Jr. with the Mike Curb Congregation,3:08,4,0.634,0.56,0,-10.883,1,0.037,0.681,0,0.367,0.88,131.641,41,1972
My Ding-A-Ling,Chuck Berry,3:43,4,0.767,0.517,4,-9.908,1,0.195,0.791,0.000186,0.078,0.846,144.322,40,1972
Nice To Be With You,Gallery,2:37,4,0.675,0.812,9,-10.834,1,0.0288,0.114,0,0.0409,0.971,131.865,40,1972
I Gotcha,Joe Tex,3:58,4,0.632,0.731,1,-4.191,1,0.262,0.0826,0,0.0514,0.785,89.483,39,1972
Brandy (YOU’RE A Fine Girl),Looking Glass,3:10,4,0.762,0.56,4,-6.054,1,0.0319,0.0733,0.00679,0.0886,0.797,125,36,1972
If I Could Reach You,The 5th Dimension,3:10,4,0.233,0.216,10,-15.737,1,0.0333,0.922,0.0408,0.118,0.155,153.566,34,1972
Good Time Charlie’s Got The Blues,Danny O’Keefe,3:22,4,0.553,0.254,4,-15.127,1,0.0309,0.764,0.328,0.0853,0.521,148.346,33,1972
All I Ever Need Is You,Sonny & Cher,2:09,4,0.62,0.415,0,-14.529,1,0.0355,0.856,0.79,0.0802,0.852,97.142,32,1972
Rock And Roll (PART 2),Gary Glitter,7:16,4,0.514,0.858,9,-6.691,1,0.306,0.134,0.000196,0.101,0.47,98.023,27,1972
Troglodyte (CAVE Man),The Jimmy Castor Bunch,3:37,4,0.797,0.653,5,-14.226,1,0.0722,0.0527,0.0043,0.0801,0.861,133.294,27,1972
Daddy Don’t You Walk So Fast,Wayne Newton,3:26,4,0.541,0.305,5,-14.475,1,0.0385,0.826,0.00000229,0.148,0.515,146.596,26,1972
I’d Love You To Want Me,Lobo,3:16,4,0.545,0.684,3,-10.036,1,0.0428,0.637,0.00018,0.0929,0.576,123.847,18,1972
I’ll Take You There,The Staple Singers,3:47,4,0.775,0.587,11,-12.71,1,0.0397,0.053,0.0102,0.0879,0.888,101.555,16,1972
I’d Like To Teach The World To Sing (IN Perfect Harmony),The Hillside Singers,2:30,4,0.645,0.311,11,-12.264,1,0.0342,0.81,0,0.207,0.605,130.166,0,1972
I’d Like To Teach The World To Sing (IN Perfect Harmony),The New Seekers,2:30,4,0.645,0.311,11,-12.264,1,0.0342,0.81,0,0.207,0.605,130.166,0,1972
Wildflower,Skylark,4:21,4,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,90,1973
My Love,Paul McCartney & Wings,2:17,4,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,89,1973
Why Me,Kris Kristofferson,2:41,4,0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,85,1973
Last Song,Edward Bear,2:43,4,0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812,80,1973
Stuck In The Middle With You,Stealers Wheel,3:28,4,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,80,1973
Killing Me Softly With His Song,Roberta Flack,4:58,4,0.765,0.289,4,-17.125,0,0.147,0.0268,0.00000177,0.562,0.501,92.413,78,1973
Superstition,Stevie Wonder,4:05,4,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,75,1973
Crocodile Rock,Elton John,3:55,4,0.621,0.8,4,-7.284,0,0.0344,0.0264,0.0000153,0.059,0.968,149.908,74,1973
Dancing In The Moonlight,King Harvest,3:01,4,0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,74,1973
Brother Louie,Stories,3:42,4,0.783,0.836,0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966,74,1973
My Maria,B.W. Stevenson,3:28,4,0.673,0.842,3,-4.627,1,0.0366,0.06,0.000257,0.178,0.898,125.57,73,1973
"Bad, Bad Leroy Brown",Jim Croce,2:59,4,0.698,0.675,7,-10.742,1,0.04,0.709,0,0.0782,0.853,148.063,73,1973
Angie,The Rolling Stones,4:32,4,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,72,1973
Live And Let Die,Paul McCartney & Wings,3:02,4,0.266,0.778,11,-8.671,1,0.0624,0.0106,0.113,0.12,0.262,151.244,71,1973
Reelin’ In The Years,Steely Dan,4:37,4,0.494,0.54,2,-17.34,1,0.0348,0.154,0,0.0878,0.723,134.976,71,1973
Sing,The Carpenters,2:59,4,0.537,0.873,1,-4.516,1,0.0521,0.0299,0,0.0768,0.51,130.007,71,1973
Daniel,Elton John,3:54,4,0.689,0.476,0,-11.945,1,0.029,0.379,0.0000512,0.0864,0.9,132.074,70,1973
Long Train Runnin’,The Doobie Brothers,3:27,4,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,70,1973
Masterpiece,The Temptations,3:26,4,0.324,0.863,10,-3.716,0,0.123,0.000109,0,0.311,0.394,177.985,70,1973
Do It Again,Steely Dan,5:57,4,0.655,0.431,2,-15.18,0,0.032,0.343,0.0000095,0.0711,0.941,124.588,69,1973
You Are The Sunshine Of My Life,Stevie Wonder,2:58,4,0.519,0.46,11,-14.53,1,0.0688,0.823,0.0000597,0.243,0.675,132.082,69,1973
Drift Away,Dobie Gray,4:15,4,0.583,0.66,11,-5.078,1,0.0377,0.181,0,0.0979,0.861,151.956,67,1973
Saturday Night’s Alright For Fighting,Elton John,4:55,4,0.513,0.979,0,-6.362,1,0.0425,0.0195,0.0951,0.0906,0.94,152.875,67,1973
Get Down,Gilbert O’Sullivan,3:31,4,0.877,0.56,7,-8.529,1,0.0621,0.156,0.000139,0.0535,0.969,110.86,67,1973
Midnight Train To Georgia,Gladys Knight & the Pips,4:39,4,0.595,0.379,10,-12.058,0,0.0454,0.271,0.0000281,0.1,0.448,92.006,67,1973
I Am Woman,Helen Reddy,3:52,4,0.646,0.471,10,-9.247,1,0.157,0.122,0,0.125,0.455,170.084,67,1973
Rocky Mountain High,John Denver,4:43,4,0.455,0.437,4,-11.411,1,0.0278,0.314,0,0.501,0.724,81.396,67,1973
Stir It Up,Johnny Nash,3:37,4,0.688,0.487,9,-8.256,1,0.174,0.157,0.00304,0.0488,0.926,146.035,67,1973
Higher Ground,Stevie Wonder,3:42,4,0.716,0.85,8,-9.949,1,0.0426,0.0631,0.00133,0.189,0.821,125.474,67,1973
Yesterday Once More,The Carpenters,3:53,4,0.254,0.38,4,-13.806,1,0.0337,0.672,0,0.379,0.408,168.496,67,1973
Love Train,The O’Jays,2:58,4,0.743,0.572,0,-9.627,1,0.0493,0.186,0.0000144,0.163,0.675,122.658,67,1973
It Never Rains In Southern California,Albert Hammond,3:53,4,0.626,0.565,9,-10.027,1,0.0271,0.124,0,0.0811,0.924,116.61,66,1973
Ramblin’ Man,The Allman Brothers Band,4:48,4,0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,66,1973
Clair,Gilbert O’Sullivan,4:28,4,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,65,1973
Me And Mrs. Jones,Billy Paul,4:44,3,0.294,0.528,8,-10.01,1,0.0471,0.234,0,0.147,0.452,200.813,64,1973
The Night The Lights Went Out In Georgia,Vicki Lawrence,4:17,4,0.428,0.51,7,-11.695,0,0.103,0.52,0.00000832,0.105,0.393,169.967,64,1973
Smoke On The Water,Deep Purple,5:42,4,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,63,1973
Kodachrome,Paul Simon,3:35,4,0.592,0.705,1,-10.276,0,0.0287,0.0291,0.0000197,0.0456,0.902,135.754,63,1973
If You Want Me To Stay,Sly & the Family Stone,3:00,4,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,63,1973
Delta Dawn,Helen Reddy,2:55,4,0.619,0.507,5,-7.677,1,0.0335,0.71,0,0.258,0.694,77.995,62,1973
Danny’s Song,Anne Murray,4:14,4,0.505,0.258,11,-12.193,0,0.0297,0.805,0,0.12,0.641,141.003,61,1973
Shambala,Three Dog Night,3:24,4,0.551,0.62,9,-11.464,1,0.0348,0.64,0.00147,0.559,0.834,127.495,61,1973
Give Me Love (GIVE Me Peace On Earth),George Harrison,3:35,4,0.365,0.57,5,-11.674,1,0.0466,0.499,0.0128,0.13,0.639,81.149,60,1973
We’re An American Band,Grand Funk Railroad,3:27,4,0.637,0.89,7,-4.872,1,0.0676,0.119,0.000065,0.103,0.923,127.688,60,1973
All I Know,Garfunkel,1:58,4,0.719,0.549,10,-8.297,1,0.147,0.327,0.148,0.117,0.192,102.092,59,1973
Superfly,Curtis Mayfield,3:53,4,0.784,0.708,2,-9.141,1,0.11,0.457,0.000075,0.0913,0.748,120.11,57,1973
The Cover Of The Rolling Stone,Dr. Hook & The Medicine Show,2:52,4,0.614,0.56,9,-8.168,1,0.0699,0.201,0,0.214,0.826,142.332,57,1973
Right Place Wrong Time,Dr. John,2:55,4,0.789,0.494,1,-13.702,1,0.0456,0.0923,0.000408,0.144,0.826,104.593,57,1973
Frankenstein,The Edgar Winter Group,3:22,4,0.826,0.745,2,-6.091,1,0.141,0.13,0.0000132,0.178,0.883,119.92,57,1973
Here I Am (COME And Take Me),Al Green,4:02,4,0.802,0.621,5,-7.932,0,0.0377,0.0975,0.0256,0.0627,0.81,95.906,56,1973
I’m Gonna Love You Just A Little More Baby,Barry White,7:11,4,0.606,0.486,7,-13.553,0,0.0411,0.0111,0.00144,0.0757,0.81,87.568,56,1973
Neither One Of Us (WANTS To Be The First To Say Goodbye),Gladys Knight & the Pips,4:24,4,0.511,0.346,5,-14.28,1,0.0388,0.685,0.000124,0.294,0.599,140.29,55,1973
Loves Me Like A Rock,Paul Simon,3:33,4,0.649,0.584,7,-10.518,1,0.0674,0.256,0,0.199,0.75,144.972,55,1973
Natural High,Bloodstone,4:00,3,0.347,0.365,4,-10.23,1,0.0442,0.646,0.00000244,0.21,0.378,169.792,54,1973
Monster Mash,Bobby ‘Boris’ Pickett,3:12,4,0.541,0.504,11,-14.191,0,0.457,0.375,0,0.421,0.707,68.482,54,1973
Trouble Man,Marvin Gaye,3:48,4,0.677,0.415,9,-9.869,0,0.0304,0.541,0.0136,0.104,0.487,107.107,54,1973
That Lady,The Isley Brothers,5:34,4,0.344,0.769,5,-9.112,0,0.0606,0.261,0.000122,0.335,0.923,126.318,54,1973
Your Mama Don’t Dance,Loggins and Messina,2:47,4,0.545,0.816,0,-7.37,1,0.0343,0.0471,0.0000118,0.163,0.962,146.211,53,1973
Diamond Girl,Seals and Crofts,4:13,4,0.575,0.386,4,-12.012,0,0.0319,0.463,0.00176,0.0576,0.414,138.467,53,1973
Why Can’t We Live Together,Timmy Thomas,5:28,4,0.837,0.322,10,-10.161,1,0.0356,0.81,0.875,0.0966,0.962,104.499,53,1973
I Believe In You (YOU Believe In Me),Johnnie Taylor,3:21,4,0.612,0.744,8,-5.671,1,0.033,0.125,0.00000257,0.0978,0.527,113.009,52,1973
Touch Me In The Morning,Diana Ross,3:27,4,0.356,0.615,6,-7.211,1,0.0315,0.456,0,0.0477,0.602,137.186,51,1973
Hocus Pocus,Focus,6:42,4,0.267,0.722,2,-7.344,1,0.102,0.00596,0.893,0.35,0.347,184.093,50,1973
The Cisco Kid,War,3:47,4,0.849,0.843,9,-7.154,0,0.105,0.209,0.00292,0.0309,0.963,141.926,50,1973
Boogie Woogie Bugle Boy,Bette Midler,2:41,4,0.64,0.479,7,-11.55,1,0.467,0.881,0.000171,0.0973,0.79,166.868,49,1973
Pillow Talk,Sylvia,10:45,4,0.919,0.362,8,-8.331,1,0.368,0.576,0,0.134,0.416,104.987,49,1973
Break Up To Make Up,The Stylistics,3:59,3,0.583,0.301,4,-10.598,1,0.0243,0.883,0,0.334,0.337,79.364,49,1973
Dueling Banjos,Eric Weissberg & Steve Mandell,3:14,4,0.417,0.484,9,-8.781,1,0.0791,0.409,0.959,0.0663,0.501,149.79,48,1973
Uneasy Rider,Charlie Daniels Band,4:24,4,0.771,0.632,0,-14.352,1,0.0655,0.0898,0.00000917,0.178,0.823,107.308,47,1973
Feelin’ Stronger Every Day,Chicago,4:14,4,0.375,0.878,0,-6.099,1,0.0649,0.00946,0.0091,0.279,0.667,159.833,47,1973
Let’s Get It On,Marvin Gaye,4:05,4,0.619,0.718,3,-4.997,1,0.0515,0.145,0.00000181,0.0848,0.554,83.584,47,1973
Space Race,Billy Preston,2:32,4,0.677,0.671,2,-10.07,1,0.029,0.0506,0.000078,0.359,0.676,124.975,46,1973
The Morning After,Maureen McGovern,5:40,4,0.63,0.436,10,-12.507,0,0.0426,0.302,0.00019,0.117,0.601,169.142,44,1973
Will It Go Round In Circles,Billy Preston,4:27,4,0.688,0.954,1,-3.767,1,0.0323,0.484,0.000688,0.259,0.89,98.111,43,1973
Little Willy,Sweet,3:12,4,0.662,0.772,11,-7.135,1,0.0356,0.332,0.00000122,0.314,0.914,127.025,43,1973
Call Me (COME Back Home),Al Green,3:04,4,0.683,0.392,10,-13.213,1,0.0293,0.596,0.00000343,0.227,0.679,99.79,42,1973
You Ought To Be With Me,Al Green,3:19,4,0.711,0.44,7,-11.501,0,0.0332,0.472,0.000149,0.131,0.577,107.603,41,1973
Half-Breed,Cher,2:47,4,0.646,0.467,9,-12.678,0,0.0325,0.524,0,0.329,0.877,102.704,41,1973
Tie A Yellow Ribbon Round The Ole Oak Tree,Tony Orlando and Dawn,3:27,4,0.617,0.634,5,-10.982,1,0.0525,0.317,0.00000342,0.0747,0.597,88.183,41,1973
One Of A Kind (LOVE Affair),The Spinners,3:34,4,0.608,0.428,1,-11.625,1,0.109,0.263,0,0.093,0.881,176.735,40,1973
The Twelfth Of Never,Donny Osmond,2:27,4,0.205,0.334,5,-10.765,1,0.0343,0.902,0.000346,0.133,0.354,171.317,39,1973
Keep On Truckin’,Eddie Kendricks,7:59,4,0.45,0.81,1,-9.762,1,0.0472,0.122,0.00963,0.0412,0.86,101.568,38,1973
Paper Roses,Marie Osmond,2:38,4,0.359,0.504,8,-10.555,1,0.0349,0.272,0.0000152,0.332,0.73,114.172,38,1973
Rockin’ Pneumonia And The Boogie Woogie Flu,Johnny Rivers,3:30,4,0.595,0.768,0,-10.372,1,0.0283,0.224,0.0000487,0.3,0.971,110.829,37,1973
The World Is A Ghetto,War,4:04,4,0.682,0.404,6,-12.51,0,0.0493,0.0367,0.000117,0.144,0.401,91.582,37,1973
Funny Face,Donna Fargo,2:46,3,0.541,0.249,2,-13.125,1,0.0339,0.813,0.0000559,0.159,0.437,96.802,36,1973
Don’t Expect Me To Be Your Friend,Lobo,3:35,4,0.607,0.419,2,-10.837,1,0.0279,0.181,0.000949,0.108,0.476,78.627,35,1973
Yes We Can Can,The Pointer Sisters,6:02,4,0.745,0.544,7,-14.06,1,0.21,0.0239,0.000524,0.0901,0.84,88.383,33,1973
Heartbeat – It’s A Lovebeat,the DeFranco Family featuring Tony DeFranco,3:14,4,0.48,0.761,6,-9.895,0,0.0346,0.2,0,0.05,0.794,145.338,31,1973
Daddy’s Home,Jermaine Jackson,3:17,4,0.327,0.816,8,-7.88,1,0.318,0.804,0.00031,0.974,0.636,205.747,30,1973
Playground In My Mind,Clint Holmes,2:52,4,0.704,0.681,5,-7.4,1,0.0343,0.431,0,0.11,0.927,125.209,28,1973
"Oh, Babe, What Would You Say?",Hurricane Smith,3:29,4,0.37,0.587,0,-7.111,1,0.0318,0.603,0.00000582,0.12,0.598,151.152,28,1973
"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,2:55,4,0.53,0.708,1,-9.293,1,0.186,0.551,0.0000196,0.1,0.634,170.545,28,1973
Keeper Of The Castle,The Four Tops,2:56,4,0.57,0.625,8,-7.548,1,0.0347,0.47,0,0.0922,0.962,78.342,27,1973
Gypsy Man,War,5:23,4,0.523,0.688,9,-8.442,0,0.0557,0.00511,0.195,0.259,0.778,126.921,25,1973
You’re So Vain,Carly Simon,4:18,4,0.665,0.594,0,-10.638,1,0.0293,0.0969,0.0000116,0.0818,0.749,105.934,23,1973
Ain’t No Woman (LIKE The One I’ve Got),The Four Tops,2:37,4,0.519,0.71,9,-10.908,0,0.0362,0.665,0.963,0.0889,0.67,102.585,18,1973
Could It Be I’m Falling In Love,The Spinners,4:09,4,0.382,0.727,9,-6.677,0,0.0861,0.729,0,0.196,0.826,207.266,17,1973
Also Sprach Zarathustra (2001),Deodato,8:59,4,0.425,0.669,5,-9.481,1,0.0316,0.0844,0.916,0.9,0.324,114.751,15,1973
